Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;03/2025;0;0;2.298.641;100.586;0;0;2.399.227;0;0;0;207.263;0;0;207.263;10.392.432;12.998.922;0;374.083;0;13.373.006;3.687.491;17.060.496
CLOUDWALK IP - PRUDENCIAL;1000086581;n4;;C;2;SAO PAULO;SP;03/2025;0;0;0;0;1.156.810;0;1.156.810;0;0;0;0;0;0;0;6.549;1.163.359;0;8.354.296;0;9.517.655;7.353.200;16.870.855
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;03/2025;0;0;150.163;9.578.536;0;0;9.728.699;0;0;0;1.908.940;0;0;1.908.940;3.059.812;14.697.451;0;298.704;0;14.996.156;1.717.105;16.713.261
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;03/2025;1.535.471;0;0;5.863.040;0;3.738;7.402.248;0;0;3.872.949;0;0;0;3.872.949;618;11.275.815;0;1.441.561;0;12.717.376;3.198.513;15.915.889
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;03/2025;68;0;0;850.692;0;0;850.760;1.312.047;0;0;0;0;0;0;7.659.387;9.822.194;1.678.513;962.059;0;12.462.767;3.166.053;15.628.820
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2025;0;0;2.026.032;2.653.309;0;0;4.679.342;0;0;0;6.156.439;0;0;6.156.439;48.754;10.884.534;0;1.628.227;0;12.512.761;3.007.873;15.520.634
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;03/2025;0;0;714.565;281.802;0;0;996.367;19.999;0;0;2.012.404;0;0;2.012.404;4.506.012;7.534.783;28.186;1.765.136;0;9.328.104;6.055.009;15.383.114
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;03/2025;214.743;0;21.817;2.732.358;0;0;2.968.918;2.234.080;0;0;0;0;0;0;7.470.157;12.673.155;801.077;613.215;0;14.087.448;1.243.570;15.331.018
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;03/2025;396.874;0;181.120;2.801.028;0;0;3.379.022;77.000;0;0;215.135;0;0;215.135;5.365.624;9.036.781;1.605.062;1.441.168;0;12.083.010;2.733.439;14.816.449
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;03/2025;1.634.187;667.389;24.711;7.671.357;0;16.683;10.014.326;0;422.927;0;10.686;0;0;433.613;0;10.447.939;0;1.161.885;0;11.609.825;3.175.572;14.785.397
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;03/2025;0;0;2.877.843;61.935;0;0;2.939.778;0;0;60.392;1.706.368;0;0;1.766.761;7.372.007;12.078.546;61.739;636.098;461.240;13.237.622;1.339.754;14.577.376
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;03/2025;0;0;349.261;2.169.476;0;0;2.518.737;8.567.834;55.141;34;1.673.330;0;0;1.728.506;0;12.815.077;262.054;138.995;570.741;13.786.868;675.856;14.462.723
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;03/2025;0;0;0;2.150.635;0;0;2.150.635;0;0;0;0;0;0;0;6.041;2.156.676;0;11.210.662;0;13.367.338;704.447;14.071.786
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;03/2025;0;0;162.000;0;0;0;162.000;0;0;0;0;0;0;0;8.913.107;9.075.107;36.988;4.306.176;0;13.418.270;619.702;14.037.973
