Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;03/2025;9.534.174;6.697.330;79.585;8.484.297;7.897.960;1.049.877;58.197;0;110
BANCO DIGIMAIS S.A.;92874270;b1;S4;C;3;SAO PAULO;SP;03/2025;9.287.550;1.801.761;3.043.276;8.671.610;7.456.622;615.940;-15.102;3;0
BANCO PACCAR S.A.;28517628;b2;S4;I;3;PONTA GROSSA;PR;03/2025;9.160.060;8.041.435;510.417;6.821.582;6.475.103;2.338.478;22.921;2;0
BANCO SOCIETE GENERALE BRASIL S.A.;61533584;b1;S4;I;3;SAO PAULO;SP;03/2025;8.970.596;261.002;797.112;7.261.567;4.862.709;1.709.030;32.876;2;0
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;03/2025;8.928.571;4.276.586;1.975.725;2.180.410;749.783;6.748.160;272.859;4;1.062
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15581638;n1;S4;C;2;PORTO ALEGRE;RS;03/2025;8.869.851;5.443.483;2.522.778;8.204.623;7.112.101;665.228;38.783;2;0
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2398976;b3S;S4;I;2;LONDRINA;PR;03/2025;8.837.986;4.435.804;3.541.469;7.330.367;7.147.390;1.507.618;40.313;0;50
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;CERRO LARGO;RS;03/2025;8.744.761;5.331.726;2.256.466;7.674.532;4.418.262;1.070.229;28.652;0;74
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;03/2025;8.635.504;4.783.194;2.400.333;7.589.962;5.131.842;1.045.542;24.370;0;96
SEM PARAR INSTITUICAO DE PAGAMENTO LTDA;4088208;n4;S5;C;3;SAO PAULO;SP;03/2025;8.511.983;0;1.017.460;5.527.023;2.507.094;2.984.960;302.361;1;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;03/2025;8.043.651;4.209.077;282.164;6.848.285;6.320.336;1.195.366;58.281;0;47
