Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;06/2024;135.220;54.817;674.164;5.749.049;-1.467.123;4.281.927;0;0;0;0;0;12.436.488;1.131.185;201.484;18.915.285;0;18.915.285
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;06/2024;265.144;771.102;1.848.388;13.681.766;-374.766;13.307.000;0;0;0;0;0;955.682;877.366;228.537;18.253.219;0;18.253.219
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;06/2024;4.135;12.251.130;4.935.299;116.390;-227;116.163;0;0;0;0;0;43.053;140.994;517.973;18.008.746;0;18.008.746
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;06/2024;5.119;11.191.727;4.725.969;793.053;-5.725;787.328;0;0;0;0;0;6.465;724;331.339;17.048.672;0;17.048.672
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;06/2024;1.093;88.000;0;15.811.804;-698.401;15.113.403;0;0;0;0;0;476.778;1.096.136;34.681;16.810.090;0;16.810.090
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2024;51.002;48.022;8.065.752;3.286.957;-59.916;3.227.040;0;0;0;0;0;3.883.396;1.479.988;44.447;16.799.647;0;16.799.647
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;06/2024;988;242.965;0;14.651.494;-540.610;14.110.884;2.510;1.255.669;507.827;-16.596;1.749.410;1.055.422;53.772;48.820;17.262.263;507.827;16.754.436
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;06/2024;81.987;345.165;6.677.456;6.597.760;-199.714;6.398.046;0;0;0;0;0;2.287.546;274.918;125.224;16.190.341;0;16.190.341
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;06/2024;5.589;58.120;4.975;15.454.614;-310.853;15.143.761;0;12.944;80;-47;12.976;274.422;160.344;526.095;16.186.282;80;16.186.202
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;06/2024;31.306;1.555.414;4.034.947;6.027.324;-285.442;5.741.882;0;0;0;0;0;88.595;3.919.461;111.684;15.483.289;0;15.483.289
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;06/2024;6.913;98.024;3.684;14.469.495;-315.197;14.154.298;263;97.815;61.161;-281;158.959;556.694;0;2.441;14.981.013;61.161;14.919.852
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;06/2024;19.366;711.021;376.758;12.952.420;-138.229;12.814.191;0;0;0;0;0;693.120;17.242;53.738;14.685.435;0;14.685.435
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2024;1.662;327.940;34.528;11.093.904;-236.095;10.857.809;1.120;79.504;747;-405;80.967;2.013.949;299.250;73.611;13.689.715;747;13.688.967
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;06/2024;2.616;7.853.683;5.501.999;221;0;221;0;0;0;0;0;3.397;1.845;283.732;13.647.493;0;13.647.493
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;06/2024;47.862;0;539.430;8.434.416;-798.802;7.635.615;0;0;0;0;0;137.125;5.120.635;41.718;13.522.384;0;13.522.384
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;06/2024;68.725;873.685;10.703.441;86.330;-528;85.802;0;0;0;0;0;905.370;4.457;26.642;12.668.121;0;12.668.121
WILL IP - PRUDENCIAL;1000084600;n1;S4;C;2;SAO PAULO;SP;06/2024;11.355;160.446;1.349.184;3.621.716;-545.946;3.075.770;0;0;0;0;0;7.300.307;281.755;304.107;12.482.924;0;12.482.924
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;06/2024;13.945;405.055;3.831.254;5.144.335;-372.327;4.772.007;0;0;0;0;0;74.638;2.993.654;116.099;12.206.653;0;12.206.653
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;06/2024;6.310;350.391;2.764.152;7.639.976;-625.529;7.014.446;0;0;0;0;0;798.699;1.032.203;52.138;12.018.339;0;12.018.339
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;06/2024;34.653;1.550.596;121.969;10.085.869;-247.961;9.837.908;-121;3.528;1.988;-17;5.379;290.738;127.288;39.856;12.008.388;1.988;12.006.400
